step,node
0,22
1,8
2,12
3,22
4,19
5,5
6,19
7,22
8,8
9,12
10,19
11,5
12,22
13,12
14,22
15,12
16,9
17,8
18,12
19,19
20,22
21,16
22,27
23,9
24,13
25,5
26,8
27,20
28,7
29,29
30,7
31,20
32,29
33,22
34,16
35,22
36,29
37,9
38,29
39,22
40,12
41,17
42,22
43,8
44,17
45,12
46,22
47,5
48,8
49,5
50,22
51,29
52,22
53,8
54,17
55,12
56,19
57,22
58,8
59,17
60,15
61,17
62,12
63,9
64,12
65,8
66,12
67,22
68,5
69,13
70,9
71,8
72,16
73,22
74,29
75,7
76,29
77,7
78,29
79,16
80,8
81,22
82,8
83,9
84,13
85,6
86,7
87,6
88,27
89,6
90,29
91,20
92,21
93,20
94,8
95,16
96,29
97,6
98,21
99,20
100,8
101,16
102,29
103,7
104,29
105,16
106,29
107,22
108,29
109,16
110,8
111,16
112,29
113,20
114,21
115,6
116,7
117,29
118,20
119,24
120,30
121,14
122,10
123,23
124,1
125,26
126,30
127,18
128,2
129,11
130,23
131,11
132,23
133,1
134,30
135,3
136,1
137,26
138,30
139,14
140,26
141,30
142,24
143,10
144,23
145,1
146,26
147,14
148,24
149,30
150,24
151,14
152,4
153,18
154,4
155,30
156,24
157,14
158,26
159,30
160,1
161,26
162,30
163,14
164,26
165,30
166,3
167,30
168,1
169,23
170,11
171,23
172,1
173,23
174,1
175,23
176,10
177,24
178,30
179,4
180,14
181,30
182,4
183,2
184,4
185,14
186,30
187,18
188,30
189,26
190,18
191,26
192,14
193,30
194,18
195,24
196,25
197,18
198,4
199,14
200,26
201,14
202,24
203,11
204,24
205,20
206,8
207,16
208,27
209,16
210,29
211,9
212,29
213,16
214,22
215,5
216,22
217,29
218,20
219,8
220,5
221,13
222,9
223,13
224,5
225,13
226,9
227,8
228,22
229,29
230,6
231,13
232,5
233,13
234,5
235,19
236,22
237,5
238,8
239,5
240,8
241,17
242,15
243,17
244,22
245,8
246,9
247,13
248,6
249,29
250,22
251,8
252,16
253,22
254,8
255,16
256,27
257,6
258,7
259,29
260,16
261,27
262,16
263,27
264,16
265,29
266,9
267,12
268,22
269,29
270,20
271,7
272,29
273,22
274,17
275,15
276,17
277,8
278,12
279,9
280,13
281,5
282,13
283,5
284,22
285,12
286,22
287,19
288,22
289,12
290,17
291,8
292,12
