step,node
0,25
1,7
2,15
3,25
4,21
5,23
6,6
7,2
8,23
9,2
10,20
11,2
12,23
13,9
14,23
15,15
16,7
17,6
18,20
19,2
20,6
21,20
22,6
23,5
24,23
25,2
26,9
27,25
28,9
29,25
30,15
31,5
32,23
33,2
34,9
35,23
36,8
37,5
38,27
39,19
40,27
41,19
42,2
43,9
44,15
45,21
46,15
47,21
48,15
49,21
50,25
51,9
52,2
53,25
54,9
55,25
56,7
57,6
58,23
59,5
60,6
61,27
62,6
63,5
64,6
65,8
66,14
67,13
68,4
69,16
70,28
71,17
72,1
73,4
74,17
75,4
76,13
77,4
78,12
79,13
80,3
81,26
82,3
83,30
84,12
85,13
86,3
87,12
88,26
89,3
90,12
91,16
92,4
93,24
94,4
95,28
96,4
97,28
98,14
99,8
100,23
101,8
102,14
103,13
104,12
105,30
106,3
107,30
108,12
109,4
110,10
111,4
112,12
113,17
114,18
115,4
116,10
117,24
118,1
119,17
120,28
121,17
122,18
123,29
124,18
125,4
126,17
127,1
128,4
129,12
130,17
131,28
132,14
133,8
134,11
135,15
136,23
137,8
138,6
139,2
140,25
141,2
142,6
143,2
144,25
145,21
146,15
147,25
148,9
149,2
150,25
151,15
152,7
153,19
154,2
155,23
156,9
157,25
158,15
159,11
160,8
161,11
162,6
163,5
164,15
165,7
166,6
167,5
168,6
169,5
170,27
171,6
172,11
173,6
174,2
175,19
176,27
177,19
178,27
179,5
180,23
181,15
182,25
183,2
184,23
185,21
186,23
187,5
188,23
189,5
190,8
191,11
192,8
193,14
194,28
195,14
196,17
197,18
198,29
199,12
200,17
201,12
202,16
203,12
204,13
205,3
206,16
207,10
208,1
209,16
210,22
211,16
212,22
213,16
214,13
215,3
216,13
217,14
218,28
219,14
220,17
221,28
222,4
223,17
224,14
225,28
226,16
227,22
228,16
229,28
230,4
231,17
232,12
233,30
234,12
235,3
236,16
237,28
238,4
239,28
240,4
241,28
242,17
243,12
244,3
245,26
246,12
247,30
248,12
249,13
250,16
251,3
252,13
253,4
254,12
255,4
256,16
257,13
258,16
259,4
260,24
261,10
262,16
263,12
264,13
265,4
266,24
267,10
268,1
269,24
270,26
271,24
272,1
273,10
274,4
275,28
276,17
277,18
278,4
279,12
280,3
281,13
282,4
283,12
284,29
285,18
286,4
287,13
288,4
289,28
290,16
291,1
292,24
293,4
294,10
295,16
296,1
297,17
298,18
299,17
300,28
301,14
302,28
303,4
304,28
305,14
306,13
307,14
308,13
309,4
310,1
311,17
312,28
313,17
314,1
315,4
316,24
317,4
318,28
319,17
320,12
321,13
322,3
323,16
324,28
325,16
326,22
327,16
328,1
329,10
330,16
331,12
332,13
333,3
334,26
335,3
336,30
337,12
338,13
339,3
340,16
341,10
342,24
343,1
344,24
345,1
346,16
347,13
348,3
349,30
350,12
351,16
352,22
353,16
354,22
355,16
356,12
357,26
358,3
359,13
360,12
361,13
362,12
363,16
364,12
365,30
366,12
367,30
368,3
369,13
370,4
371,16
372,1
373,4
374,12
375,26
376,3
377,13
378,14
379,28
380,17
381,14
382,28
383,16
384,1
385,10
386,24
387,1
388,24
389,26
390,12
391,29
392,18
393,29
394,18
395,29
396,18
397,17
398,4
399,18
400,29
401,12
402,17
403,1
404,4
405,10
406,24
407,10
408,16
409,4
410,12
411,4
412,28
413,4
414,10
415,4
416,28
417,17
418,28
419,16
420,13
421,4
422,24
423,4
424,13
425,3
426,12
427,13
428,4
429,10
430,4
431,28
432,4
433,10
434,4
435,10
436,24
437,26
438,24
439,4
440,17
441,14
442,28
443,16
444,1
445,17
446,12
447,16
448,4
449,17
450,28
451,16
452,3
453,13
454,4
455,28
456,14
457,13
458,16
459,3
460,26
461,12
462,16
463,13
464,4
465,16
466,28
467,14
468,28
469,14
470,17
471,28
472,14
473,8
474,14
475,17
476,12
477,16
478,12
479,29
480,12
481,13
482,4
483,17
484,14
485,17
486,12
487,4
488,1
489,4
490,28
491,4
492,16
493,22
494,16
495,1
496,17
497,14
498,8
499,14
500,8
501,6
502,7
503,19
504,27
505,5
506,27
507,6
508,27
509,5
510,23
511,9
512,2
513,19
514,27
515,6
516,7
517,6
518,8
519,11
520,15
521,5
522,8
523,11
524,6
525,5
526,23
527,9
528,23
529,6
530,8
531,14
532,13
533,12
534,29
535,12
536,17
537,4
538,28
539,16
540,28
541,4
542,16
543,12
544,13
545,3
546,16
547,28
548,4
549,13
550,12
551,4
552,12
553,26
554,24
555,26
556,3
557,13
558,12
559,26
560,12
561,13
562,12
563,16
564,3
565,13
566,16
567,13
568,4
569,12
570,4
571,17
572,18
573,4
574,13
575,14
576,28
577,14
578,13
579,4
580,17
581,4
582,13
583,14
584,8
585,14
586,8
587,5
588,8
589,5
590,27
591,5
592,27
593,6
594,5
595,27
596,6
597,2
598,6
599,27
600,5
601,27
602,5
603,15
604,9
605,23
606,15
607,9
608,15
609,21
610,25
611,9
612,2
613,9
614,25
615,21
616,25
617,2
618,19
619,7
620,15
621,25
622,9
623,25
624,9
625,15
626,23
627,6
628,20
629,2
630,19
631,2
632,20
633,2
634,23
635,6
636,20
637,2
638,19
639,8
640,6
641,27
642,19
643,27
644,5
645,6
646,27
647,6
648,27
649,19
650,27
651,6
652,11
653,6
654,8
655,11
656,15
657,21
658,15
659,11
660,6
661,2
662,19
663,8
664,11
665,6
666,20
667,6
668,11
669,6
670,27
671,5
672,6
673,23
674,6
675,20
676,2
677,9
678,15
679,21
680,15
681,25
682,9
683,2
684,9
685,23
686,8
687,5
688,23
689,6
690,8
691,23
692,8
693,6
694,27
695,5
696,27
697,6
698,5
699,15
700,25
701,21
702,25
703,9
704,25
705,7
706,15
707,5
708,27
709,19
710,2
711,9
712,2
713,25
714,7
715,15
716,25
717,15
718,21
719,15
720,11
721,15
722,5
723,6
724,27
725,6
726,7
727,15
728,11
729,6
730,8
731,23
732,6
733,11
734,15
735,21
736,23
737,6
738,2
739,23
740,6
741,11
742,6
743,11
744,8
745,19
746,7
747,15
748,11
749,15
750,23
751,2
752,6
753,11
754,6
755,23
756,21
757,15
758,25
759,2
760,9
761,23
762,2
763,23
764,2
765,6
766,7
767,6
768,11
769,6
770,5
771,23
772,21
773,23
774,6
775,5
776,6
777,11
778,6
779,7
780,15
781,11
782,8
783,5
784,27
785,5
786,23
787,21
788,25
789,9
790,15
791,25
792,7
793,15
794,23
795,21
796,25
797,7
798,6
799,20
800,2
801,6
802,8
803,6
804,27
805,6
806,20
807,6
808,20
809,6
810,20
811,6
812,7
813,15
814,9
815,25
816,15
817,11
818,15
819,5
820,6
821,23
822,2
823,19
824,2
825,9
826,2
827,20
828,2
829,19
830,7
831,6
832,2
833,25
834,7
835,6
836,8
837,19
838,8
839,11
840,6
841,2
842,25
843,15
844,21
845,23
846,9
847,23
848,8
849,6
850,23
851,9
852,2
853,20
854,6
855,2
856,9
857,23
858,8
859,11
860,8
861,6
862,8
863,14
864,8
865,11
866,8
867,19
868,2
869,20
870,6
871,2
872,6
873,7
874,15
875,7
876,15
877,9
878,15
879,7
880,19
881,2
882,20
883,6
884,11
885,6
886,2
887,23
888,8
889,11
890,8
891,19
892,2
893,6
894,5
895,15
896,11
897,8
898,19
899,7
900,25
901,2
902,6
903,2
904,25
905,7
906,15
907,21
908,23
909,6
910,8
911,19
912,2
913,23
914,8
915,23
916,6
917,7
918,6
919,23
920,21
921,23
922,8
923,14
924,17
925,18
926,17
927,12
928,3
929,30
930,12
931,26
932,24
933,1
934,10
935,24
936,1
937,17
938,1
939,17
940,4
941,12
942,16
943,4
944,28
945,17
946,14
947,28
948,4
949,24
950,26
951,24
952,1
953,4
954,13
955,12
956,26
957,12
958,26
959,24
960,10
961,4
962,28
963,14
964,17
965,1
966,4
967,16
968,1
969,16
970,3
971,12
972,16
973,13
974,14
975,17
976,12
977,26
978,3
979,12
980,4
981,1
982,4
983,28
984,17
985,14
986,17
987,4
988,12
989,17
990,18
991,4
992,13
993,12
994,17
995,14
996,8
997,6
998,2
999,25
1000,15
1001,25
1002,9
1003,25
1004,2
1005,23
1006,21
1007,23
1008,9
1009,23
1010,21
1011,15
1012,23
1013,15
1014,21
1015,15
1016,5
1017,8
1018,6
1019,7
1020,25
1021,9
1022,15
1023,5
1024,6
1025,11
1026,15
1027,25
1028,2
1029,20
1030,2
1031,19
1032,8
1033,23
1034,5
1035,27
1036,6
1037,27
1038,6
1039,7
1040,19
1041,8
1042,23
1043,8
1044,19
1045,7
1046,6
1047,20
1048,6
1049,7
1050,25
1051,21
1052,25
1053,15
1054,23
1055,9
1056,25
1057,15
1058,11
1059,15
1060,9
1061,25
1062,7
1063,15
1064,25
1065,21
1066,25
1067,15
1068,11
1069,6
1070,23
1071,2
1072,25
1073,7
1074,25
1075,15
1076,5
1077,15
1078,11
1079,6
1080,20
1081,2
1082,25
1083,15
1084,25
1085,21
1086,15
1087,23
1088,8
1089,14
1090,17
1091,28
1092,17
1093,1
1094,16
1095,12
1096,26
1097,12
1098,17
1099,14
1100,17
1101,18
1102,17
1103,14
1104,28
1105,4
1106,18
1107,29
1108,18
1109,17
1110,4
1111,24
1112,1
1113,17
1114,4
1115,17
1116,1
1117,10
1118,16
1119,22
1120,16
1121,12
1122,29
1123,18
1124,17
1125,18
1126,29
1127,12
1128,26
1129,12
1130,4
1131,28
1132,16
1133,4
1134,1
1135,16
1136,1
1137,10
1138,4
1139,24
1140,26
1141,3
1142,30
1143,3
1144,16
1145,28
1146,16
1147,1
1148,17
1149,14
1150,17
1151,28
1152,17
1153,28
1154,17
1155,18
1156,17
1157,14
1158,28
1159,4
1160,10
1161,1
1162,4
1163,10
1164,1
1165,16
1166,4
1167,10
1168,4
1169,12
1170,26
1171,12
1172,17
1173,18
1174,4
1175,10
1176,16
1177,12
1178,4
1179,16
1180,28
1181,14
1182,13
1183,14
1184,13
1185,12
1186,26
1187,3
1188,26
1189,12
1190,26
1191,12
1192,30
